transaction_id,order_datetime_utc,ingested_at_utc,country,source_system,source_scenario,product_code,product_name,product_category,brand,sales_channel,quantity,unit_price,currency,discount_pct,gross_amount,net_amount
TXN-CH-2-000001,2026-08-26 23:44:41,2026-08-26 23:50:41,CH,SAP S/4HANA,A,SAN-002,SanaPlus ColdFlu,OTC,SanaPlus,Wholesale,8,10.0,CHF,0.05,80.0,76.0
TXN-CH-2-000002,2026-08-26 00:00:55,2026-08-26 00:06:55,CH,SAP S/4HANA,A,DER-002,Dermacare LiftCream,Aesthetic,Dermacare,D2C,1,35.24,CHF,0.0,35.24,35.24
TXN-CH-2-000003,2026-08-26 06:58:05,2026-08-26 07:03:05,CH,SAP S/4HANA,A,PUR-002,PureLife BP Monitor,Medical Device,PureLife,E-commerce,10,85.71,CHF,0.15,857.1,728.53
TXN-CH-2-000004,2026-08-26 06:18:40,2026-08-26 06:21:40,CH,SAP S/4HANA,A,DER-001,Dermacare GlowSerum,Aesthetic,Dermacare,Wholesale,10,30.48,CHF,0.05,304.8,289.56
TXN-CH-2-000005,2026-08-26 11:05:08,2026-08-26 11:11:08,CH,SAP S/4HANA,A,DER-001,Dermacare GlowSerum,Aesthetic,Dermacare,E-commerce,2,30.48,CHF,0.2,60.96,48.77
TXN-CH-2-000006,2026-08-26 17:26:49,2026-08-26 17:30:49,CH,SAP S/4HANA,A,MED-002,Medora Derm Cream,Prescription,Medora,Wholesale,3,24.76,CHF,0.05,74.28,70.57
TXN-CH-2-000007,2026-08-26 14:47:45,2026-08-26 14:53:45,CH,SAP S/4HANA,A,DER-002,Dermacare LiftCream,Aesthetic,Dermacare,Wholesale,2,35.24,CHF,0.05,70.48,66.96
TXN-CH-2-000008,2026-08-26 08:27:45,2026-08-26 08:29:45,CH,SAP S/4HANA,A,PUR-001,PureLife GlucoMonitor,Medical Device,PureLife,Wholesale,4,80.95,CHF,0.2,323.8,259.04
TXN-CH-2-000009,2026-08-26 19:26:50,2026-08-26 19:27:50,CH,SAP S/4HANA,A,VIT-002,Vitalis Multivit,Supplement,Vitalis,Pharmacy/B2B,4,16.19,CHF,0.0,64.76,64.76
TXN-CH-2-000010,2026-08-26 14:55:49,2026-08-26 14:57:49,CH,SAP S/4HANA,A,SAN-001,SanaPlus PainRelief,OTC,SanaPlus,Wholesale,5,9.05,CHF,0.0,45.25,45.25
