transaction_id,order_datetime_utc,ingested_at_utc,country,source_system,source_scenario,product_code,product_name,product_category,brand,sales_channel,quantity,unit_price,currency,discount_pct,gross_amount,net_amount
TXN-CN-3-000001,2026-08-27 01:20:46,2026-08-27 01:22:46,CN,Other ERP,C,DER-002,Dermacare LiftCream,AES,Dermacare,D2C,12,284.62,CNY,0.05,3415.44,3244.67
TXN-CN-3-000002,2026-08-27 20:18:47,2026-08-27 20:23:47,CN,Other ERP,C,PUR-001,PureLife GlucoMonitor,MD,PureLife,Wholesale,9,653.85,CNY,0.05,5884.65,5590.42
TXN-CN-3-000003,2026-08-27 18:05:50,2026-08-27 18:10:50,CN,Other ERP,C,MED-002,Medora Derm Cream,RX,Medora,Pharmacy/B2B,7,200.0,CNY,0.0,1400.0,1400.0
TXN-CN-3-000004,2026-08-27 22:32:45,2026-08-27 22:33:45,CN,Other ERP,C,VIT-001,Vitalis C1000,SUP,Vitalis,D2C,9,161.54,CNY,0.0,1453.86,1453.86
TXN-CN-3-000005,2026-08-27 18:33:33,2026-08-27 18:38:33,CN,Other ERP,C,DER-001,Dermacare GlowSerum,AES,Dermacare,Wholesale,6,246.15,CNY,0.0,1476.9,1476.9
TXN-CN-3-000006,2026-08-27 23:27:58,2026-08-27 23:31:58,CN,Other ERP,C,DER-002,Dermacare LiftCream,AES,Dermacare,Wholesale,4,284.62,CNY,0.0,1138.48,1138.48
TXN-CN-3-000007,2026-08-27 16:15:12,2026-08-27 16:17:12,CN,Other ERP,C,PUR-001,PureLife GlucoMonitor,MD,PureLife,Wholesale,3,653.85,CNY,0.05,1961.55,1863.47
TXN-CN-3-000008,2026-08-27 12:56:15,2026-08-27 13:00:15,CN,Other ERP,C,VIT-002,Vitalis Multivit,SUP,Vitalis,Pharmacy/B2B,9,130.77,CNY,0.2,1176.93,941.54
TXN-CN-3-000009,2026-08-27 06:28:39,2026-08-27 06:34:39,CN,Other ERP,C,PUR-002,PureLife BP Monitor,MD,PureLife,Pharmacy/B2B,4,692.31,CNY,0.0,2769.24,2769.24
TXN-CN-3-000010,2026-08-27 08:09:05,2026-08-27 08:11:05,CN,Other ERP,C,PUR-001,PureLife GlucoMonitor,MD,PureLife,Wholesale,1,653.85,CNY,0.05,653.85,621.16
TXN-CN-3-000011,2026-08-27 20:42:20,2026-08-27 20:44:20,CN,Other ERP,C,DER-002,Dermacare LiftCream,AES,Dermacare,D2C,7,284.62,CNY,0.15,1992.34,1693.49
TXN-CN-3-000012,2026-08-27 05:01:06,2026-08-27 05:03:06,CN,Other ERP,C,VIT-001,Vitalis C1000,SUP,Vitalis,E-commerce,6,161.54,CNY,0.0,969.24,969.24
TXN-CN-3-000013,2026-08-27 10:58:11,2026-08-27 11:02:11,CN,Other ERP,C,VIT-002,Vitalis Multivit,SUP,Vitalis,Wholesale,11,130.77,CNY,0.0,1438.47,1438.47
TXN-CN-3-000014,2026-08-27 22:26:29,2026-08-27 22:32:29,CN,Other ERP,C,VIT-001,Vitalis C1000,SUP,Vitalis,Wholesale,7,161.54,CNY,0.1,1130.78,1017.7
TXN-CN-3-000015,2026-08-27 03:44:12,2026-08-27 03:49:12,CN,Other ERP,C,DER-002,Dermacare LiftCream,AES,Dermacare,Wholesale,10,284.62,CNY,0.05,2846.2,2703.89
TXN-CN-3-000016,2026-08-27 07:10:21,2026-08-27 07:12:21,CN,Other ERP,C,MED-001,Medora Cardio 10mg,RX,Medora,E-commerce,5,330.77,CNY,0.0,1653.85,1653.85
TXN-CN-3-000017,2026-08-27 11:26:02,2026-08-27 11:32:02,CN,Other ERP,C,PUR-002,PureLife BP Monitor,MD,PureLife,D2C,5,692.31,CNY,0.1,3461.55,3115.4
TXN-CN-3-000018,2026-08-27 15:44:54,2026-08-27 15:48:54,CN,Other ERP,C,PUR-002,PureLife BP Monitor,MD,PureLife,D2C,9,692.31,CNY,0.15,6230.79,5296.17
TXN-CN-3-000019,2026-08-27 11:20:06,2026-08-27 11:24:06,CN,Other ERP,C,MED-002,Medora Derm Cream,RX,Medora,Wholesale,8,200.0,CNY,0.0,1600.0,1600.0
TXN-CN-3-000020,2026-08-27 14:05:56,2026-08-27 14:10:56,CN,Other ERP,C,SAN-001,SanaPlus PainRelief,OTC,SanaPlus,D2C,11,73.08,CNY,0.05,803.88,763.69
TXN-CN-3-000021,2026-08-27 11:08:49,2026-08-27 11:14:49,CN,Other ERP,C,PUR-001,PureLife GlucoMonitor,MD,PureLife,E-commerce,12,653.85,CNY,0.0,7846.2,7846.2
TXN-CN-3-000022,2026-08-27 21:37:51,2026-08-27 21:42:51,CN,Other ERP,C,PUR-001,PureLife GlucoMonitor,MD,PureLife,Pharmacy/B2B,9,653.85,CNY,0.0,5884.65,5884.65
TXN-CN-3-000023,2026-08-27 11:52:36,2026-08-27 11:55:36,CN,Other ERP,C,MED-001,Medora Cardio 10mg,RX,Medora,Wholesale,12,330.77,CNY,0.0,3969.24,3969.24
TXN-CN-3-000024,2026-08-27 02:08:52,2026-08-27 02:10:52,CN,Other ERP,C,VIT-002,Vitalis Multivit,SUP,Vitalis,D2C,11,130.77,CNY,0.05,1438.47,1366.55
TXN-CN-3-000025,2026-08-27 05:57:22,2026-08-27 06:01:22,CN,Other ERP,C,SAN-001,SanaPlus PainRelief,OTC,SanaPlus,Pharmacy/B2B,9,73.08,CNY,0.0,657.72,657.72
TXN-CN-3-000026,2026-08-27 20:43:50,2026-08-27 20:46:50,CN,Other ERP,C,SAN-002,SanaPlus ColdFlu,OTC,SanaPlus,Pharmacy/B2B,5,80.77,CNY,0.2,403.85,323.08
TXN-CN-3-000027,2026-08-27 21:51:54,2026-08-27 21:54:54,CN,Other ERP,C,DER-002,Dermacare LiftCream,AES,Dermacare,E-commerce,11,284.62,CNY,0.15,3130.82,2661.2
TXN-CN-3-000028,2026-08-27 05:47:04,2026-08-27 05:52:04,CN,Other ERP,C,MED-002,Medora Derm Cream,RX,Medora,Wholesale,1,200.0,CNY,0.15,200.0,170.0
TXN-CN-3-000029,2026-08-27 11:48:55,2026-08-27 11:53:55,CN,Other ERP,C,DER-001,Dermacare GlowSerum,AES,Dermacare,Pharmacy/B2B,6,246.15,CNY,0.0,1476.9,1476.9
TXN-CN-3-000030,2026-08-27 13:59:20,2026-08-27 14:03:20,CN,Other ERP,C,MED-002,Medora Derm Cream,RX,Medora,Wholesale,10,200.0,CNY,0.05,2000.0,1900.0
TXN-CN-3-000031,2026-08-27 16:40:55,2026-08-27 16:45:55,CN,Other ERP,C,MED-002,Medora Derm Cream,RX,Medora,Wholesale,7,200.0,CNY,0.05,1400.0,1330.0
TXN-CN-3-000032,2026-08-27 08:00:06,2026-08-27 08:01:06,CN,Other ERP,C,SAN-001,SanaPlus PainRelief,OTC,SanaPlus,Pharmacy/B2B,3,73.08,CNY,0.0,219.24,219.24
TXN-CN-3-000033,2026-08-27 17:48:39,2026-08-27 17:53:39,CN,Other ERP,C,SAN-002,SanaPlus ColdFlu,OTC,SanaPlus,Wholesale,1,80.77,CNY,0.0,80.77,80.77
TXN-CN-3-000034,2026-08-27 00:39:05,2026-08-27 00:45:05,CN,Other ERP,C,VIT-001,Vitalis C1000,SUP,Vitalis,Pharmacy/B2B,7,161.54,CNY,0.0,1130.78,1130.78
TXN-CN-3-000035,2026-08-27 02:17:54,2026-08-27 02:20:54,CN,Other ERP,C,DER-002,Dermacare LiftCream,AES,Dermacare,E-commerce,1,284.62,CNY,0.0,284.62,284.62
TXN-CN-3-000036,2026-08-27 09:09:30,2026-08-27 09:15:30,CN,Other ERP,C,MED-002,Medora Derm Cream,RX,Medora,Pharmacy/B2B,6,200.0,CNY,0.0,1200.0,1200.0
TXN-CN-3-000037,2026-08-27 13:45:01,2026-08-27 13:47:01,CN,Other ERP,C,DER-001,Dermacare GlowSerum,AES,Dermacare,E-commerce,10,246.15,CNY,0.2,2461.5,1969.2
TXN-CN-3-000038,2026-08-27 14:09:32,2026-08-27 14:11:32,CN,Other ERP,C,PUR-001,PureLife GlucoMonitor,MD,PureLife,D2C,12,653.85,CNY,0.05,7846.2,7453.89
TXN-CN-3-000039,2026-08-27 21:53:06,2026-08-27 21:54:06,CN,Other ERP,C,SAN-002,SanaPlus ColdFlu,OTC,SanaPlus,E-commerce,7,80.77,CNY,0.0,565.39,565.39
