transaction_id,order_datetime_utc,ingested_at_utc,country,source_system,source_scenario,product_code,product_name,product_category,brand,sales_channel,quantity,unit_price,currency,discount_pct,gross_amount,net_amount
TXN-GB-3-000001,2026-08-27 11:45:21,2026-08-27 11:50:21,GB,Legacy Oracle EBS,E,SAN-001,SanaPlus PainRelief,OTC,SanaPlus,E-commerce,12,8.12,GBP,0.2,97.44,77.95
TXN-GB-3-000002,2026-08-27 21:49:05,2026-08-27 21:51:05,GB,Legacy Oracle EBS,E,PUR-002,PureLife BP Monitor,Medical Device,PureLife,D2C,8,76.92,GBP,0.1,615.36,553.82
TXN-GB-3-000003,2026-08-27 07:04:16,2026-08-27 07:07:16,GB,Legacy Oracle EBS,E,MED-001,Medora Cardio 10mg,Prescription,Medora,Pharmacy/B2B,7,36.75,GBP,0.1,257.25,231.53
TXN-GB-3-000004,2026-08-27 08:14:45,2026-08-27 08:19:45,GB,Legacy Oracle EBS,E,VIT-002,Vitalis Multivit,Supplement,Vitalis,E-commerce,11,14.53,GBP,0.05,159.83,151.84
TXN-GB-3-000005,2026-08-27 03:41:41,2026-08-27 03:44:41,GB,Legacy Oracle EBS,E,PUR-002,PureLife BP Monitor,Medical Device,PureLife,Pharmacy/B2B,8,76.92,GBP,0.0,615.36,615.36
TXN-GB-3-000006,2026-08-27 15:55:16,2026-08-27 15:59:16,GB,Legacy Oracle EBS,E,DER-002,Dermacare LiftCream,Aesthetic,Dermacare,Pharmacy/B2B,7,31.62,GBP,0.0,221.34,221.34
TXN-GB-3-000007,2026-08-27 11:27:45,2026-08-27 11:31:45,GB,Legacy Oracle EBS,E,VIT-001,Vitalis C1000,Supplement,Vitalis,Wholesale,7,17.95,GBP,0.15,125.65,106.8
TXN-GB-3-000008,2026-08-27 12:58:27,2026-08-27 13:02:27,GB,Legacy Oracle EBS,E,PUR-001,PureLife GlucoMonitor,Medical Device,PureLife,Pharmacy/B2B,7,72.65,GBP,0.0,508.55,508.55
TXN-GB-3-000009,2026-08-27 16:45:37,2026-08-27 16:48:37,GB,Legacy Oracle EBS,E,SAN-002,SanaPlus ColdFlu,OTC,SanaPlus,Pharmacy/B2B,3,8.97,GBP,0.1,26.91,24.22
TXN-GB-3-000010,2026-08-27 23:19:38,2026-08-27 23:21:38,GB,Legacy Oracle EBS,E,SAN-001,SanaPlus PainRelief,OTC,SanaPlus,Pharmacy/B2B,12,8.12,GBP,0.2,97.44,77.95
TXN-GB-3-000011,2026-08-27 23:05:41,2026-08-27 23:07:41,GB,Legacy Oracle EBS,E,MED-002,Medora Derm Cream,Prescription,Medora,Pharmacy/B2B,2,22.22,GBP,0.1,44.44,40.0
TXN-GB-3-000012,2026-08-27 06:23:18,2026-08-27 06:25:18,GB,Legacy Oracle EBS,E,DER-002,Dermacare LiftCream,Aesthetic,Dermacare,Pharmacy/B2B,3,31.62,GBP,0.05,94.86,90.12
TXN-GB-3-000013,2026-08-27 14:14:41,2026-08-27 14:19:41,GB,Legacy Oracle EBS,E,MED-002,Medora Derm Cream,Prescription,Medora,Pharmacy/B2B,6,22.22,GBP,0.05,133.32,126.65
TXN-GB-3-000014,2026-08-27 06:10:02,2026-08-27 06:14:02,GB,Legacy Oracle EBS,E,SAN-002,SanaPlus ColdFlu,OTC,SanaPlus,E-commerce,11,8.97,GBP,0.15,98.67,83.87
TXN-GB-3-000015,2026-08-27 03:30:09,2026-08-27 03:36:09,GB,Legacy Oracle EBS,E,VIT-002,Vitalis Multivit,Supplement,Vitalis,Wholesale,6,14.53,GBP,0.15,87.18,74.1
TXN-GB-3-000016,2026-08-27 05:49:38,2026-08-27 05:55:38,GB,Legacy Oracle EBS,E,SAN-001,SanaPlus PainRelief,OTC,SanaPlus,E-commerce,10,8.12,GBP,0.0,81.2,81.2
