transaction_id,order_datetime_utc,ingested_at_utc,country,source_system,source_scenario,product_code,product_name,product_category,brand,sales_channel,quantity,unit_price,currency,discount_pct,gross_amount,net_amount
TXN-IT-3-000001,2026-08-27 05:46:30,2026-08-27 05:49:30,IT,Proprietary ERP,B,DER-002,Dermacare LiftCream,Aesthetic,Dermacare,Wholesale,9,37.0,EUR,0.0,333.0,333.0
TXN-IT-3-000002,2026-08-27 11:30:52,2026-08-27 11:35:52,IT,Proprietary ERP,B,SAN-001,SanaPlus PainRelief,OTC,SanaPlus,D2C,10,9.5,EUR,0.05,95.0,90.25
TXN-IT-3-000003,2026-08-27 04:50:31,2026-08-27 04:52:31,IT,Proprietary ERP,B,MED-001,Medora Cardio 10mg,Prescription,Medora,D2C,1,43.0,EUR,0.0,43.0,43.0
TXN-IT-3-000004,2026-08-27 03:07:28,2026-08-27 03:11:28,IT,Proprietary ERP,B,MED-001,Medora Cardio 10mg,Prescription,Medora,Pharmacy/B2B,3,43.0,EUR,0.05,129.0,122.55
TXN-IT-3-000005,2026-08-27 18:52:26,2026-08-27 18:55:26,IT,Proprietary ERP,B,PUR-002,PureLife BP Monitor,Medical Device,PureLife,Wholesale,8,90.0,EUR,0.05,720.0,684.0
TXN-IT-3-000006,2026-08-27 17:59:30,2026-08-27 18:03:30,IT,Proprietary ERP,B,MED-002,Medora Derm Cream,Prescription,Medora,E-commerce,1,26.0,EUR,0.0,26.0,26.0
TXN-IT-3-000007,2026-08-27 21:04:55,2026-08-27 21:08:55,IT,Proprietary ERP,B,DER-001,Dermacare GlowSerum,Aesthetic,Dermacare,E-commerce,8,32.0,EUR,0.05,256.0,243.2
TXN-IT-3-000008,2026-08-27 12:25:50,2026-08-27 12:28:50,IT,Proprietary ERP,B,SAN-002,SanaPlus ColdFlu,OTC,SanaPlus,Wholesale,10,10.5,EUR,0.2,105.0,84.0
TXN-IT-3-000009,2026-08-27 10:49:10,2026-08-27 10:55:10,IT,Proprietary ERP,B,VIT-002,Vitalis Multivit,Supplement,Vitalis,Pharmacy/B2B,11,17.0,EUR,0.15,187.0,158.95
TXN-IT-3-000010,2026-08-27 21:42:59,2026-08-27 21:44:59,IT,Proprietary ERP,B,DER-001,Dermacare GlowSerum,Aesthetic,Dermacare,Wholesale,8,32.0,EUR,0.0,256.0,256.0
TXN-IT-3-000011,2026-08-27 03:20:05,2026-08-27 03:24:05,IT,Proprietary ERP,B,VIT-001,Vitalis C1000,Supplement,Vitalis,D2C,4,21.0,EUR,0.0,84.0,84.0
TXN-IT-3-000012,2026-08-27 06:30:54,2026-08-27 06:32:54,IT,Proprietary ERP,B,PUR-002,PureLife BP Monitor,Medical Device,PureLife,E-commerce,9,90.0,EUR,0.05,810.0,769.5
TXN-IT-3-000013,2026-08-27 06:04:34,2026-08-27 06:09:34,IT,Proprietary ERP,B,MED-002,Medora Derm Cream,Prescription,Medora,Wholesale,11,26.0,EUR,0.1,286.0,257.4
TXN-IT-3-000014,2026-08-27 07:18:56,2026-08-27 07:24:56,IT,Proprietary ERP,B,DER-002,Dermacare LiftCream,Aesthetic,Dermacare,D2C,10,37.0,EUR,0.2,370.0,296.0
TXN-IT-3-000015,2026-08-27 09:05:33,2026-08-27 09:11:33,IT,Proprietary ERP,B,DER-002,Dermacare LiftCream,Aesthetic,Dermacare,E-commerce,8,37.0,EUR,0.0,296.0,296.0
TXN-IT-3-000016,2026-08-27 03:35:47,2026-08-27 03:37:47,IT,Proprietary ERP,B,MED-002,Medora Derm Cream,Prescription,Medora,D2C,9,26.0,EUR,0.15,234.0,198.9
TXN-IT-3-000017,2026-08-27 13:48:36,2026-08-27 13:50:36,IT,Proprietary ERP,B,MED-001,Medora Cardio 10mg,Prescription,Medora,Wholesale,2,43.0,EUR,0.0,86.0,86.0
